seed,val_best_auqc,test_auuc,test_auqc,test_lift,n_estimators,max_depth,min_samples_leaf,min_var_fraction_leaf
412312,0.7181594973582328,0.5763228070996035,0.573522696792069,0.010288047380975883,372,3,200,0.1653691144230759
42,0.7807004294770703,0.5310227132120141,0.529921283111212,0.0075441967591761885,484,9,21,0.17768770113064133
1874,0.6978710567017992,0.4835866609603328,0.4823242721421377,0.005745743835564678,324,10,67,0.041424081066301605
902745,0.7057441338867753,0.3741734844010116,0.3744001752268767,0.004249373413145003,88,3,161,0.07732167112298563
1,0.7642381839484509,0.49663388527566976,0.4958314719858347,0.009677033492822965,320,3,64,0.10498766641028202
