seed,val_best_auqc,test_auuc,test_auqc,test_lift,n_estimators,max_depth,min_samples_leaf,min_var_fraction_leaf
412312,0.6000497658946469,0.3884421242932216,0.3871564936911505,0.05246725555894005,52,8,177,0.05465694468416669
42,0.7926673219192506,0.3359661571697626,0.33407639057689015,0.8314016963897348,456,3,187,0.027312846569122244
1874,0.5212892127711675,0.3561030239653265,0.35420535913753437,0.023834454922760928,360,3,50,0.0725771075115219
902745,0.7303068807150281,0.35139689963977727,0.34808553289659505,0.3133809556955418,352,4,168,0.011391709955517356
1,0.7748083621412417,0.37486573106264687,0.3719138079983929,0.3328309584703446,312,3,187,0.15815142667989052
