seed,val_best_auqc,test_auuc,test_auqc,test_lift,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,random_state,verbose
412312,0.6683089711295671,0.5752566998080744,0.5778081548884006,0.008331151869820043,370,0.01298735062574183,12,137,172,0.9932744633780214,0.5434605445687467,412312,-1
42,0.6450503743919105,0.5003798583598026,0.5022755566267935,0.005917730871300635,318,0.09967516291405103,7,114,47,0.7305883778847561,0.7096826133481988,42,-1
1874,0.6881993423274206,0.537425968059603,0.5372473885599146,0.005894523826158441,295,0.0011971560949501333,9,119,118,0.7903756995434195,0.5021644284263119,1874,-1
902745,0.6617694426496671,0.5362517341384779,0.5359371889815379,0.008582808881208978,263,0.0012649423195956217,11,48,144,0.6132709176428628,0.5017883691326314,902745,-1
1,0.6933598646303439,0.5423912563896527,0.5430639017851118,0.009044335430692673,53,0.023917570371700805,12,68,170,0.5201797572573603,0.5031402846222452,1,-1
