seed,val_best_auqc,test_auuc,test_auqc,test_lift,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,random_state,verbose
412312,0.5888032480021715,0.5930829426029569,0.5919065051505933,0.7000223722768617,265,0.005704718533623548,7,72,124,0.9099131342212943,0.9673777873573417,412312,-1
42,0.5785050543869468,0.4821494644849411,0.480402842705424,0.6963498738527124,456,0.003456881571995716,4,31,97,0.5802695074017576,0.7512669103365401,42,-1
1874,0.6685645655865783,0.4848626894414646,0.4866237104237961,0.5013895864683628,264,0.022947731494519348,5,38,14,0.7880553330108252,0.5157425686643021,1874,-1
902745,0.6096309457550274,0.5536323741460701,0.5531758461935151,0.4141288000730865,349,0.02202108902550769,4,22,72,0.8983137447960957,0.9605195194830132,902745,-1
1,0.6116123517066139,0.6369848067057796,0.6372410838378334,0.5496841496290159,236,0.0012586556158866136,8,103,108,0.9722973779954067,0.7932775202509965,1,-1
