seed,val_best_auqc,test_auuc,test_auqc,test_lift,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree
412312,0.5563904160109155,0.42891179977411525,0.42825850498400403,0.4493074307610171,466,0.004359527338882436,4,42,38,0.6813808617739479,0.6947762995629674
42,0.5741282042280648,0.4731854965741444,0.4738624782116583,0.6765102686332638,259,0.01651644444134928,5,59,11,0.9990753610950857,0.5820277679886149
1874,0.5916562737022436,0.41010217561681667,0.41097910026443424,0.6166875146791466,273,0.012898709548359664,4,117,17,0.5672854125154728,0.9467723034172033
902745,0.5667024193516839,0.42588662065501676,0.4269893219979102,0.3817315372679757,299,0.009654220831808943,4,50,19,0.5189080328560164,0.6747064052325809
1,0.586983083409821,0.3629673764712362,0.362676975071211,0.32798369958963525,271,0.01049053660779748,3,100,18,0.7019840587104249,0.735505882261014
