seed,val_best_auqc,test_auuc,test_auqc,test_lift,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree
412312,0.6843034298297962,0.5229353503123988,0.5262367683061128,0.007674380736382807,412,0.09876332398875728,6,101,24,0.7874200225921119,0.7460668451059149
42,0.6461386531769493,0.555184188886516,0.555533819972889,0.009988107130964274,499,0.0029122281169618354,11,64,49,0.6263173111621947,0.5470627946835671
1874,0.6199841501184495,0.5392182943169838,0.5391241962089405,0.01002874988039006,278,0.05521436177039728,8,46,187,0.6067889362676557,0.7896492097544748
902745,0.6227165785056368,0.4717066068510283,0.47117275571319267,0.007424515253529581,371,0.07400193329200935,8,92,143,0.8504963474058324,0.9943983004147946
1,0.672606774305434,0.5356844815503523,0.5358067471727729,0.006463813410672905,52,0.0012593011085955395,7,143,38,0.5836080929634712,0.5273952671691311
