seed,val_best_auqc,test_auuc,test_auqc,test_lift,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree
412312,0.7330100088371341,0.6157648604592931,0.6192257022785413,0.009342392656131284,173,0.012955196165345776,11,144,147,0.7357038178730825,0.9755097277006934
42,0.7033123346266197,0.5411496786007107,0.5428636890409381,0.009010542111358186,390,0.09584331093913212,11,19,171,0.7323605305006305,0.7220700096712316
1874,0.7287158983908755,0.5410624277704043,0.5454505397145135,0.008204745116556477,488,0.079825220325129,10,149,85,0.680339357551476,0.5733277645349598
902745,0.7130996537881968,0.578596863720804,0.5821057468480685,0.007234100853347716,145,0.04702840903975229,12,68,169,0.65513130731767,0.9988339919229722
1,0.6798509228090189,0.6162708647475713,0.6172995520367361,0.010070332480818416,254,0.023989494414722028,9,35,133,0.8696513802690061,0.9965529532744237
