seed,val_best_auqc,test_auuc,test_auqc,test_lift,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree
412312,0.48622206778333427,0.5695234972114013,0.5707025615476676,0.7699717466281764,170,0.05075960859455643,6,78,26,0.7587132066040572,0.5683170166877971
42,0.7048367658447271,0.603662092671607,0.604797449359224,0.5856952356615869,231,0.0404635475393716,8,145,10,0.7090040282422849,0.5055267508187599
1874,0.79797735679971,0.49149245322270535,0.4959070274759635,0.39167173584573167,347,0.05165759211947844,9,129,33,0.7295580226438874,0.9323752839492936
902745,0.741439938276308,0.4840273816036572,0.48764942993542615,0.2546536735971916,94,0.09909191132985978,11,53,20,0.598413697671757,0.9126383495684742
1,0.5247024874982865,0.524498657165874,0.5251536082950597,0.6682666202736551,498,0.0043608383774328,7,103,79,0.670481811970321,0.6116635104523199
